setting,backbone,dataset,grid_index,mAP,topk,tau,lam_min,lam_max,n_iter
CLIP_L14_esb,CLIP_L14,esb,34,0.6162236075606441,10,0.2,0.1,0.7,2
CLIP_L14_esb,CLIP_L14,esb,35,0.600432473765307,10,0.2,0.1,0.9,2
CLIP_L14_esb,CLIP_L14,esb,36,0.6150207437546652,15,0.1,0.0,0.5,2
CLIP_L14_esb,CLIP_L14,esb,37,0.6149389744160867,15,0.1,0.0,0.7,2
CLIP_L14_esb,CLIP_L14,esb,38,0.585202357384645,15,0.1,0.0,0.9,2
CLIP_L14_esb,CLIP_L14,esb,39,0.6147123025901803,15,0.1,0.1,0.5,2
CLIP_L14_esb,CLIP_L14,esb,40,0.614883920674374,15,0.1,0.1,0.7,2
CLIP_L14_esb,CLIP_L14,esb,41,0.5805600171269092,15,0.1,0.1,0.9,2
CLIP_L14_esb,CLIP_L14,esb,42,0.6149093422672226,15,0.2,0.0,0.5,2
CLIP_L14_esb,CLIP_L14,esb,43,0.607287906221733,15,0.2,0.0,0.7,2
CLIP_L14_esb,CLIP_L14,esb,44,0.5720666308236876,15,0.2,0.0,0.9,2
CLIP_L14_esb,CLIP_L14,esb,45,0.6159838258429168,15,0.2,0.1,0.5,2
CLIP_L14_esb,CLIP_L14,esb,46,0.6070570256250034,15,0.2,0.1,0.7,2
CLIP_L14_esb,CLIP_L14,esb,47,0.5675973460782063,15,0.2,0.1,0.9,2
CLIP_L14_mn40,CLIP_L14,mn40,0,0.6642191695472327,5,0.1,0.0,0.5,2
CLIP_L14_mn40,CLIP_L14,mn40,1,0.672526715963284,5,0.1,0.0,0.7,2
CLIP_L14_mn40,CLIP_L14,mn40,2,0.6747959867184167,5,0.1,0.0,0.9,2
CLIP_L14_mn40,CLIP_L14,mn40,3,0.6658047012471153,5,0.1,0.1,0.5,2
CLIP_L14_mn40,CLIP_L14,mn40,4,0.674424512986248,5,0.1,0.1,0.7,2
CLIP_L14_mn40,CLIP_L14,mn40,5,0.6747390264859189,5,0.1,0.1,0.9,2
CLIP_L14_mn40,CLIP_L14,mn40,6,0.668813810862234,5,0.2,0.0,0.5,2
CLIP_L14_mn40,CLIP_L14,mn40,7,0.676083791087662,5,0.2,0.0,0.7,2
CLIP_L14_mn40,CLIP_L14,mn40,8,0.67612305881881,5,0.2,0.0,0.9,2
CLIP_L14_mn40,CLIP_L14,mn40,9,0.6704869373353718,5,0.2,0.1,0.5,2
CLIP_L14_mn40,CLIP_L14,mn40,10,0.6770760584161668,5,0.2,0.1,0.7,2
CLIP_L14_mn40,CLIP_L14,mn40,11,0.6749200435279666,5,0.2,0.1,0.9,2
CLIP_L14_mn40,CLIP_L14,mn40,12,0.665463448361166,7,0.1,0.0,0.5,2
CLIP_L14_mn40,CLIP_L14,mn40,13,0.675560406801415,7,0.1,0.0,0.7,2
CLIP_L14_mn40,CLIP_L14,mn40,14,0.671688690721497,7,0.1,0.0,0.9,2
CLIP_L14_mn40,CLIP_L14,mn40,15,0.667805302906568,7,0.1,0.1,0.5,2
CLIP_L14_mn40,CLIP_L14,mn40,16,0.6765049737762351,7,0.1,0.1,0.7,2
CLIP_L14_mn40,CLIP_L14,mn40,17,0.6726855827178989,7,0.1,0.1,0.9,2
CLIP_L14_mn40,CLIP_L14,mn40,18,0.6671386128918813,7,0.2,0.0,0.5,2
CLIP_L14_mn40,CLIP_L14,mn40,19,0.67374847619022,7,0.2,0.0,0.7,2
CLIP_L14_mn40,CLIP_L14,mn40,20,0.6642367239336548,7,0.2,0.0,0.9,2
CLIP_L14_mn40,CLIP_L14,mn40,21,0.6691237191826129,7,0.2,0.1,0.5,2
