setting,backbone,dataset,policy,order_seed,retained_target_drift,mAP,NDCG@100,ANMRR
DINOv2_ntu,DINOv2,ntu,reset,0,0.0,0.6161133110406767,0.27041841135256633,0.41580062018022906
DINOv2_ntu,DINOv2,ntu,persistent,0,0.5189902186393738,0.1335449735271827,0.07389026249637812,0.8838020667067202
DINOv2_ntu,DINOv2,ntu,persistent,1,0.526277482509613,0.11300621059303524,0.053885325115541824,0.9053318665046505
DINOv2_ntu,DINOv2,ntu,persistent,2,0.5118772387504578,0.12840221508682703,0.07209977793262849,0.8906343358167873
DINOv2_ntu,DINOv2,ntu,persistent,3,0.5347960591316223,0.13128204946476452,0.06548333314969881,0.8836931742071268
DINOv2_ntu,DINOv2,ntu,persistent,4,0.5316019654273987,0.12359162377588324,0.06528727904892828,0.8945347415989098
OpenCLIP_L14_abo,OpenCLIP_L14,abo,reset,0,0.0,0.6791177219819218,0.5921665792724715,0.3415396698295564
OpenCLIP_L14_abo,OpenCLIP_L14,abo,persistent,0,0.28204014897346497,0.36397235059903255,0.299525350558261,0.6616847789790284
OpenCLIP_L14_abo,OpenCLIP_L14,abo,persistent,1,0.280056893825531,0.28734712785180955,0.19268830333350692,0.7521644817463632
OpenCLIP_L14_abo,OpenCLIP_L14,abo,persistent,2,0.26945772767066956,0.3095485371486876,0.29075086803048067,0.7198330897084769
OpenCLIP_L14_abo,OpenCLIP_L14,abo,persistent,3,0.2745475769042969,0.3876315091823238,0.3172084725898042,0.6301449350883056
OpenCLIP_L14_abo,OpenCLIP_L14,abo,persistent,4,0.2653254568576813,0.3204644998064108,0.20673769533905179,0.7313485714902843
OpenCLIP_L14_esb,OpenCLIP_L14,esb,reset,0,0.0,0.6395603907740885,0.2563464508855042,0.4127040776238335
OpenCLIP_L14_esb,OpenCLIP_L14,esb,persistent,0,0.22467681765556335,0.21740410148054398,0.11160691414936247,0.8213416753400646
OpenCLIP_L14_esb,OpenCLIP_L14,esb,persistent,1,0.2261497527360916,0.2112165676558583,0.10273476929308359,0.8313406292008282
OpenCLIP_L14_esb,OpenCLIP_L14,esb,persistent,2,0.22525762021541595,0.27073403161766846,0.12284339468793623,0.7656225131975517
OpenCLIP_L14_esb,OpenCLIP_L14,esb,persistent,3,0.22696168720722198,0.28069653506346354,0.1276140960281789,0.7770107580948796
OpenCLIP_L14_esb,OpenCLIP_L14,esb,persistent,4,0.22564354538917542,0.23147050445609174,0.11618566669747346,0.8130424524805825
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,reset,0,0.0,0.7201379533344475,0.8022582891441182,0.31079650686233457
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,persistent,0,0.27193936705589294,0.21111528209718,0.23819094934694823,0.8201569915351528
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,persistent,1,0.2737005352973938,0.24797597665549115,0.22914256695543767,0.7970557228348699
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,persistent,2,0.27884235978126526,0.24905112893275994,0.2595398811482688,0.7943380466166503
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,persistent,3,0.2645706534385681,0.1949980060261693,0.1926957933742058,0.835702823725283
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,persistent,4,0.2672862112522125,0.22713198236008836,0.2005363785262896,0.8101106388743957
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,reset,0,0.0,0.6558001367670364,0.2815332422885977,0.3820065815361738
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,persistent,0,0.3032210171222687,0.09234922275032018,0.049744108769828994,0.9200883966483181
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,persistent,1,0.3025645315647125,0.08907872165321937,0.04180076232028438,0.92444770931029
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,persistent,2,0.2983470857143402,0.09682975856602079,0.05653743975764529,0.9134665008197966
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,persistent,3,0.3078080117702484,0.0913380454543748,0.04988774930957474,0.9208858573288197
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,persistent,4,0.30641382932662964,0.09766501194305488,0.05402301986717436,0.9175652766882271
