setting,backbone,dataset,batch_size,seed,num_batches,top100_overlap_vs_seed0,mAP,NDCG@100,ANMRR
CLIP_L14_esb,CLIP_L14,esb,10,3,12,0.7542500000000001,0.5765189529145258,0.240326292056519,0.479266258472931
CLIP_L14_esb,CLIP_L14,esb,10,4,12,0.7643333333333333,0.5865333216213261,0.24162610998382655,0.4574428377583379
CLIP_L14_esb,CLIP_L14,esb,full,0,1,1.0,0.6302641824188077,0.25282682875648843,0.4278649057752683
CLIP_L14_mn40,CLIP_L14,mn40,single,0,160,1.0,0.5782107066884687,0.7073464182490974,0.4376704962302706
CLIP_L14_mn40,CLIP_L14,mn40,5,0,32,1.0,0.615422586178339,0.7286903853052411,0.4044982907112386
CLIP_L14_mn40,CLIP_L14,mn40,5,1,32,0.8366875,0.6145897263985015,0.7220102099705787,0.40533136271470277
CLIP_L14_mn40,CLIP_L14,mn40,5,2,32,0.8344999999999999,0.617587085615208,0.72486206062783,0.40224463443937086
CLIP_L14_mn40,CLIP_L14,mn40,5,3,32,0.837125,0.624484432904939,0.7318164184383447,0.39681144923843853
CLIP_L14_mn40,CLIP_L14,mn40,5,4,32,0.8461875000000001,0.6187833442334789,0.7259315173509678,0.400808237032275
CLIP_L14_mn40,CLIP_L14,mn40,10,0,16,1.0,0.6090201420278799,0.7195756266843307,0.4105719388478667
CLIP_L14_mn40,CLIP_L14,mn40,10,1,16,0.8032499999999999,0.6117184498352066,0.7261844895169869,0.4054402637747156
CLIP_L14_mn40,CLIP_L14,mn40,10,2,16,0.8125,0.614878080400449,0.7251651120632336,0.40440105334355164
CLIP_L14_mn40,CLIP_L14,mn40,10,3,16,0.8050625,0.6163609575190684,0.7293264631128547,0.403138684148513
CLIP_L14_mn40,CLIP_L14,mn40,10,4,16,0.812,0.6158861043043634,0.7258178341306202,0.40316515566082245
CLIP_L14_mn40,CLIP_L14,mn40,full,0,1,1.0,0.6704875755108449,0.7562311630425788,0.3509472400881178
CLIP_L14_ntu,CLIP_L14,ntu,single,0,270,1.0,0.5895497096024458,0.2638824812004725,0.43845272418646025
CLIP_L14_ntu,CLIP_L14,ntu,5,0,54,1.0,0.5850127240384331,0.26195814855678407,0.44360893797027084
CLIP_L14_ntu,CLIP_L14,ntu,5,1,54,0.792074074074074,0.5825582217248877,0.2624563681773708,0.44768604585643196
CLIP_L14_ntu,CLIP_L14,ntu,5,2,54,0.7783703703703705,0.5868889412103625,0.2631366673961489,0.44781213641296597
CLIP_L14_ntu,CLIP_L14,ntu,5,3,54,0.7955925925925926,0.5869308304159548,0.2637633244212908,0.44802778675016364
CLIP_L14_ntu,CLIP_L14,ntu,5,4,54,0.7945555555555556,0.5885950623006643,0.26346792865169355,0.4404224183957321
CLIP_L14_ntu,CLIP_L14,ntu,10,0,27,1.0,0.5746063829329995,0.2596855610533448,0.4531597319519978
