setting,sigma,seed,baseline_mAP,pong_mAP,delta_mAP_pp
OpenCLIP_L14_mn40,0.02,47,0.6452882574204228,0.7498691922563517,10.45809348359289
OpenCLIP_L14_mn40,0.05,11,0.4103967960335437,0.5947463179649677,18.4349521931424
OpenCLIP_L14_mn40,0.05,29,0.404062962730937,0.5887343520065439,18.46713892756069
OpenCLIP_L14_mn40,0.05,47,0.40937851046255885,0.5927354263232285,18.335691586066964
DINOv2_esb,0.02,11,0.5812097755691465,0.6212736038322426,4.006382826309607
DINOv2_esb,0.02,29,0.5812834816024112,0.6172794372656887,3.5995955663277512
DINOv2_esb,0.02,47,0.582983407319374,0.626127068365902,4.3143661046528
DINOv2_esb,0.05,11,0.4918136487972794,0.5554567919516401,6.36431431543607
DINOv2_esb,0.05,29,0.49294653040374153,0.5618183543743276,6.887182397058606
DINOv2_esb,0.05,47,0.4859651211079054,0.5493107197068239,6.334559859891847
DINOv2_ntu,0.02,11,0.5877319439996928,0.6500262258587389,6.229428185904617
DINOv2_ntu,0.02,29,0.5839811584975299,0.6536472890773364,6.966613057980653
DINOv2_ntu,0.02,47,0.5845624551300547,0.6491200504263132,6.4557595296258485
DINOv2_ntu,0.05,11,0.4667244891288179,0.559751084820061,9.302659569124305
DINOv2_ntu,0.05,29,0.4685440731100279,0.553811933432072,8.526786032204415
DINOv2_ntu,0.05,47,0.46534353830279845,0.5562789900352085,9.093545173241008
DINOv2_abo,0.02,11,0.6094116908461781,0.6721016622793904,6.268997143321231
DINOv2_abo,0.02,29,0.6088762678060751,0.6679394437333956,5.906317592732058
DINOv2_abo,0.02,47,0.6110670755777446,0.6676470453989537,5.657996982120905
DINOv2_abo,0.05,11,0.5120671020761629,0.6002569089245912,8.818980684842826
DINOv2_abo,0.05,29,0.5183559838032602,0.595711545955299,7.735556215203876
DINOv2_abo,0.05,47,0.5174505033805126,0.599871572558273,8.242106917776038
DINOv2_mn40,0.02,11,0.6144728576721004,0.7121724113460589,9.769955367395855
DINOv2_mn40,0.02,29,0.6143360475138673,0.7088285620048804,9.449251449101315
DINOv2_mn40,0.02,47,0.6102309802202021,0.7070182591066149,9.67872788864128
DINOv2_mn40,0.05,11,0.4778956730525204,0.6202226674260214,14.2326994373501
DINOv2_mn40,0.05,29,0.47899281349039613,0.6200154115823043,14.10225980919082
DINOv2_mn40,0.05,47,0.46833022184086825,0.6103304029326598,14.200018109179158
